0	0	2.411	0
0	0	0	4.833
2.411	0	2.411	4.833
0	4.833	2.411	4.833
0.429	0	0.428	0.807
0.877	0.491	0.998	0.755
0.998	0.755	1.265	0.653
1.858	0	1.858	0.419
0	1.217	0.321	1.217
0.431	1.644	1.923	1.059
0.431	1.644	0.453	2.45
0.453	2.45	1.66	2.44
0.866	1.981	2.411	1.544
0.671	2.905	0.977	3.151
0.977	3.151	1.242	2.859
1.242	2.859	1.537	3.125
1.537	3.125	1.813	2.839
1.813	2.839	2.12	3.113
2.12	3.113	2.411	2.797
0.624	3.794	0.448	4.14
0.448	4.14	0.806	4.332
0.806	4.332	1.207	3.651
1.008	4.833	1.605	3.804
1.605	3.804	1.984	4.012
1.984	4.012	1.795	4.356
